longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity;total_pools
-122.28;37.84;52.0;2153;481.0;1168.0;441.0;1.9615;115200.0;NEAR BAY;22
-122.27;37.84;48.0;1922;409.0;1026.0;335.0;1.7969;110400.0;NEAR BAY;19
-122.27;37.83;49.0;1655;366.0;754.0;329.0;1.375;104900.0;NEAR BAY;17
-122.27;37.83;51.0;2665;574.0;1258.0;536.0;;109700.0;NEAR BAY;27
-122.27;37.83;49.0;1215;282.0;570.0;264.0;1.4861;97200.0;NEAR BAY;12
-122.27;37.83;48.0;1798;432.0;987.0;374.0;;104500.0;NEAR BAY;18
-122.28;37.83;52.0;1511;390.0;901.0;403.0;1.4103;103900.0;NEAR BAY;15
-122.26;37.83;52.0;1470;330.0;689.0;309.0;3.48;191400.0;NEAR BAY;15
-122.26;37.83;52.0;2432;715.0;1377.0;696.0;2.5898;176000.0;NEAR BAY;
-122.26;37.83;52.0;1665;419.0;946.0;395.0;2.0978;155400.0;NEAR BAY;17
-122.26;37.83;51.0;936;311.0;517.0;249.0;1.2852;150000.0;NEAR BAY;
-122.26;37.84;49.0;713;202.0;462.0;189.0;1.025;118800.0;NEAR BAY;7
-122.26;37.84;52.0;950;202.0;467.0;198.0;3.9643;188800.0;NEAR BAY;
-122.26;37.83;52.0;1443;311.0;660.0;292.0;3.0125;184400.0;NEAR BAY;
-122.26;37.83;52.0;1656;420.0;718.0;382.0;2.6768;182300.0;NEAR BAY;17
-122.26;37.83;50.0;1125;322.0;616.0;304.0;2.026;142500.0;NEAR BAY;11
-122.27;37.82;43.0;1007;312.0;558.0;253.0;1.7348;137500.0;NEAR BAY;
-122.26;37.82;40.0;624;195.0;423.0;160.0;0.9506;187500.0;NEAR BAY;6
-122.27;37.82;40.0;946;375.0;700.0;352.0;1.775;112500.0;NEAR BAY;
-122.27;37.82;21.0;896;453.0;735.0;438.0;0.9218;171900.0;NEAR BAY;9
-122.27;37.82;43.0;1868;456.0;1061.0;407.0;;93800.0;NEAR BAY;
-122.27;37.82;41.0;3221;853.0;1959.0;720.0;1.1108;97500.0;NEAR BAY;32
-122.27;37.82;52.0;1630;456.0;1162.0;400.0;1.2475;104200.0;NEAR BAY;16
-122.28;37.82;52.0;1170;235.0;701.0;233.0;1.6098;87500.0;NEAR BAY;12
-122.28;37.82;52.0;945;243.0;576.0;220.0;;83100.0;NEAR BAY;
-122.28;37.82;52.0;1238;288.0;622.0;259.0;1.5057;87500.0;NEAR BAY;
-122.28;37.82;52.0;1489;335.0;728.0;244.0;0.8172;85300.0;NEAR BAY;
-122.28;37.82;52.0;1387;341.0;1074.0;304.0;1.2171;80300.0;NEAR BAY;14
-122.29;37.82;2.0;158;43.0;94.0;57.0;2.5625;60000.0;NEAR BAY;
-122.29;37.83;52.0;1121;211.0;554.0;187.0;;75700.0;NEAR BAY;
-122.29;37.82;49.0;135;29.0;86.0;23.0;6.1183;75000.0;NEAR BAY;
-122.29;37.81;50.0;760;190.0;377.0;122.0;;86100.0;NEAR BAY;
-122.3;37.81;52.0;1224;237.0;521.0;159.0;1.191;76100.0;NEAR BAY;
-122.3;37.81;48.0;828;182.0;392.0;133.0;;73500.0;NEAR BAY;8
-122.3;37.81;52.0;1010;209.0;604.0;187.0;1.1667;78400.0;NEAR BAY;10
-122.3;37.81;48.0;1455;354.0;788.0;332.0;0.8056;84400.0;NEAR BAY;15
-122.29;37.8;52.0;1027;244.0;492.0;147.0;2.6094;81300.0;NEAR BAY;
-122.3;37.81;52.0;572;109.0;274.0;82.0;1.8516;85000.0;NEAR BAY;
-122.29;37.81;46.0;2801;644.0;1823.0;611.0;0.9802;129200.0;NEAR BAY;
-122.29;37.81;26.0;768;152.0;392.0;127.0;1.7719;82500.0;NEAR BAY;
-122.29;37.81;46.0;935;297.0;582.0;277.0;0.7286;95200.0;NEAR BAY;9
-122.29;37.81;49.0;844;204.0;560.0;152.0;1.75;75000.0;NEAR BAY;
-122.29;37.81;46.0;12;4.0;18.0;7.0;0.4999;67500.0;NEAR BAY;
-122.29;37.81;20.0;835;161.0;290.0;133.0;2.483;137500.0;NEAR BAY;8
-122.28;37.81;17.0;1237;462.0;762.0;439.0;0.9241;177500.0;NEAR BAY;
-122.28;37.81;36.0;2914;562.0;1236.0;509.0;2.4464;102100.0;NEAR BAY;
-122.28;37.81;19.0;1207;243.0;721.0;207.0;1.1111;108300.0;NEAR BAY;12
-122.29;37.81;23.0;1745;374.0;1054.0;325.0;0.8026;112500.0;NEAR BAY;17
-122.28;37.8;38.0;684;176.0;344.0;155.0;2.0114;131300.0;NEAR BAY;7
-122.28;37.81;17.0;924;289.0;609.0;289.0;1.5;162500.0;NEAR BAY;
-122.27;37.81;52.0;210;56.0;183.0;56.0;1.1667;112500.0;NEAR BAY;
-122.28;37.81;52.0;340;97.0;200.0;87.0;1.5208;112500.0;NEAR BAY;
-122.28;37.81;52.0;386;164.0;346.0;155.0;0.8075;137500.0;NEAR BAY;
-122.28;37.81;35.0;948;184.0;467.0;169.0;1.8088;118800.0;NEAR BAY;
-122.28;37.81;52.0;773;143.0;377.0;115.0;2.4083;98200.0;NEAR BAY;
-122.27;37.81;40.0;880;451.0;582.0;380.0;0.977;118800.0;NEAR BAY;9
-122.27;37.81;10.0;875;348.0;546.0;330.0;0.76;162500.0;NEAR BAY;
-122.27;37.8;10.0;105;42.0;125.0;39.0;0.9722;137500.0;NEAR BAY;
-122.27;37.8;52.0;249;78.0;396.0;85.0;1.2434;500001.0;NEAR BAY;2
-122.27;37.8;16.0;994;392.0;800.0;362.0;2.0938;162500.0;NEAR BAY;
-122.28;37.8;52.0;215;87.0;904.0;88.0;0.8668;137500.0;NEAR BAY;2
-122.28;37.8;52.0;96;31.0;191.0;34.0;0.75;162500.0;NEAR BAY;
-122.27;37.79;27.0;1055;347.0;718.0;302.0;2.6354;187500.0;NEAR BAY;11
-122.27;37.8;39.0;1715;623.0;1327.0;467.0;1.8477;179200.0;NEAR BAY;
-122.26;37.8;36.0;5329;2477.0;3469.0;2323.0;2.0096;130000.0;NEAR BAY;53
-122.26;37.82;31.0;4596;1331.0;2048.0;1180.0;2.8345;183800.0;NEAR BAY;46
-122.26;37.81;29.0;335;107.0;202.0;91.0;2.0062;125000.0;NEAR BAY;3
-122.26;37.82;22.0;3682;1270.0;2024.0;1250.0;1.2185;170000.0;NEAR BAY;
-122.26;37.82;37.0;3633;1085.0;1838.0;980.0;2.6104;193100.0;NEAR BAY;
-122.25;37.81;29.0;4656;1414.0;2304.0;1250.0;;257800.0;NEAR BAY;
-122.25;37.81;28.0;5806;1603.0;2563.0;1497.0;3.2177;273400.0;NEAR BAY;
-122.25;37.81;39.0;854;242.0;389.0;228.0;3.125;237500.0;NEAR BAY;
-122.25;37.81;52.0;2155;701.0;895.0;613.0;2.5795;350000.0;NEAR BAY;22
-122.26;37.81;34.0;5871;1914.0;2689.0;1789.0;2.8406;335700.0;NEAR BAY;
-122.24;37.82;52.0;1509;225.0;674.0;244.0;4.9306;313400.0;NEAR BAY;15
-122.24;37.81;52.0;2026;482.0;709.0;456.0;3.2727;268500.0;NEAR BAY;
-122.25;37.81;52.0;1758;460.0;686.0;422.0;3.1691;259400.0;NEAR BAY;
-122.24;37.82;52.0;3481;751.0;1444.0;718.0;3.9;275700.0;NEAR BAY;
-122.25;37.82;28.0;3337;855.0;1520.0;802.0;3.9063;225000.0;NEAR BAY;33
-122.25;37.82;52.0;1424;289.0;550.0;253.0;5.0917;262500.0;NEAR BAY;
-122.25;37.82;32.0;3809;1098.0;1806.0;1022.0;2.6429;218500.0;NEAR BAY;
-122.25;37.82;26.0;3959;1196.0;1749.0;1217.0;3.0233;255000.0;NEAR BAY;
-122.25;37.83;52.0;2376;559.0;939.0;519.0;3.1484;224100.0;NEAR BAY;24
-122.25;37.83;35.0;1613;428.0;675.0;422.0;3.4722;243100.0;NEAR BAY;16
-122.25;37.83;52.0;1279;287.0;534.0;291.0;3.1429;231600.0;NEAR BAY;
-122.25;37.83;28.0;5022;1750.0;2558.0;1661.0;2.4234;218500.0;NEAR BAY;50
-122.25;37.83;52.0;4190;1105.0;1786.0;1037.0;3.0897;234100.0;NEAR BAY;
-122.23;37.84;50.0;2515;399.0;970.0;373.0;5.8596;327600.0;NEAR BAY;25
-122.23;37.84;47.0;3175;454.0;1098.0;485.0;5.2868;347600.0;NEAR BAY;32
-122.24;37.83;41.0;2576;406.0;794.0;376.0;5.956;366100.0;NEAR BAY;26
-122.24;37.85;37.0;334;54.0;98.0;47.0;4.9643;335000.0;NEAR BAY;
-122.23;37.85;52.0;2800;411.0;1061.0;403.0;6.3434;373600.0;NEAR BAY;28
-122.24;37.84;52.0;3529;574.0;1177.0;555.0;5.1773;389500.0;NEAR BAY;
-122.24;37.85;52.0;2612;365.0;901.0;367.0;7.2354;391100.0;NEAR BAY;
-122.22;37.85;28.0;5287;1048.0;2031.0;956.0;5.457;337300.0;NEAR BAY;
-122.22;37.84;50.0;2935;473.0;1031.0;479.0;;295200.0;NEAR BAY;29
-122.21;37.84;44.0;3424;597.0;1358.0;597.0;6.0194;292300.0;NEAR BAY;
-122.21;37.83;40.0;4991;674.0;1616.0;654.0;7.5544;411500.0;NEAR BAY;
-122.2;37.84;30.0;2211;346.0;844.0;343.0;6.0666;311500.0;NEAR BAY;22
-122.21;37.84;34.0;3038;490.0;1140.0;496.0;7.0548;325900.0;NEAR BAY;
-122.19;37.84;18.0;1617;210.0;533.0;194.0;11.6017;392600.0;NEAR BAY;
-122.2;37.84;35.0;2865;460.0;1072.0;443.0;7.4882;319300.0;NEAR BAY;29
-122.21;37.83;34.0;5065;788.0;1627.0;766.0;6.8976;333300.0;NEAR BAY;51
-122.19;37.83;28.0;1326;184.0;463.0;190.0;8.2049;335200.0;NEAR BAY;
-122.2;37.83;26.0;1589;223.0;542.0;211.0;8.401;351200.0;NEAR BAY;16
-122.19;37.83;29.0;1791;271.0;661.0;269.0;6.8538;368900.0;NEAR BAY;
-122.19;37.82;32.0;1835;264.0;635.0;263.0;8.317;365900.0;NEAR BAY;
-122.2;37.82;37.0;1229;181.0;420.0;176.0;7.0175;366700.0;NEAR BAY;
-122.2;37.82;39.0;3770;534.0;1265.0;500.0;6.3302;362800.0;NEAR BAY;38
-122.18;37.81;30.0;292;38.0;126.0;52.0;6.3624;483300.0;NEAR BAY;3
-122.21;37.82;52.0;2375;333.0;813.0;350.0;7.0549;331400.0;NEAR BAY;
-122.2;37.81;45.0;2964;436.0;1067.0;426.0;6.7851;323500.0;NEAR BAY;
-122.21;37.8;50.0;2833;605.0;1260.0;552.0;2.8929;216700.0;NEAR BAY;
-122.21;37.8;38.0;2254;535.0;951.0;487.0;3.0812;233100.0;NEAR BAY;23
-122.21;37.81;52.0;1389;212.0;510.0;224.0;5.2402;296400.0;NEAR BAY;
-122.22;37.81;52.0;1971;335.0;765.0;308.0;6.5217;273700.0;NEAR BAY;20
-122.22;37.8;52.0;2183;465.0;1129.0;460.0;3.2632;227700.0;NEAR BAY;
-122.22;37.8;52.0;2286;464.0;1073.0;441.0;3.0298;199600.0;NEAR BAY;23
-122.22;37.8;52.0;2721;541.0;1185.0;515.0;4.5428;239800.0;NEAR BAY;27
-122.22;37.81;52.0;2024;339.0;756.0;340.0;4.072;270100.0;NEAR BAY;20
-122.22;37.81;52.0;2944;536.0;1034.0;521.0;5.3509;302100.0;NEAR BAY;
-122.23;37.8;52.0;2033;486.0;787.0;459.0;3.1603;269500.0;NEAR BAY;20
-122.23;37.81;52.0;1433;229.0;612.0;213.0;4.7708;314700.0;NEAR BAY;14
-122.22;37.81;52.0;2927;402.0;1021.0;380.0;8.1564;390100.0;NEAR BAY;
-122.23;37.81;52.0;2315;292.0;861.0;258.0;8.8793;410300.0;NEAR BAY;23
-122.24;37.81;52.0;2485;313.0;953.0;327.0;6.8591;352400.0;NEAR BAY;25
-122.24;37.81;52.0;1490;238.0;634.0;256.0;;287300.0;NEAR BAY;
-122.23;37.81;52.0;2814;365.0;878.0;352.0;7.508;348700.0;NEAR BAY;28
-122.24;37.81;52.0;2093;550.0;918.0;483.0;2.7477;243800.0;NEAR BAY;
-122.24;37.8;52.0;888;168.0;360.0;175.0;2.1944;211500.0;NEAR BAY;9
-122.25;37.8;52.0;2087;510.0;1197.0;488.0;3.0149;218400.0;NEAR BAY;
-122.24;37.81;52.0;2513;502.0;1048.0;518.0;3.675;269900.0;NEAR BAY;25
-122.25;37.81;46.0;3232;835.0;1373.0;747.0;3.225;218800.0;NEAR BAY;32
-122.25;37.8;42.0;4120;1065.0;1715.0;1015.0;2.9345;225000.0;NEAR BAY;
-122.25;37.8;43.0;2364;792.0;1359.0;722.0;2.1429;250000.0;NEAR BAY;24
-122.25;37.8;41.0;1471;469.0;1062.0;413.0;1.6121;171400.0;NEAR BAY;
-122.25;37.8;29.0;2468;864.0;1335.0;773.0;1.3929;193800.0;NEAR BAY;25
-122.24;37.79;27.0;1632;492.0;1171.0;429.0;2.3173;125000.0;NEAR BAY;16
-122.25;37.79;45.0;1786;526.0;1475.0;460.0;1.7772;97500.0;NEAR BAY;
-122.25;37.79;50.0;629;188.0;742.0;196.0;2.6458;125000.0;NEAR BAY;6
-122.25;37.79;52.0;1339;391.0;1086.0;363.0;2.181;138800.0;NEAR BAY;
-122.25;37.8;36.0;1678;606.0;1645.0;543.0;2.2303;116700.0;NEAR BAY;17
-122.25;37.8;43.0;2344;647.0;1710.0;644.0;1.6504;151800.0;NEAR BAY;
-122.24;37.8;52.0;996;228.0;731.0;228.0;2.2697;127000.0;NEAR BAY;
-122.24;37.8;52.0;1591;373.0;1118.0;347.0;2.1563;128600.0;NEAR BAY;
-122.24;37.8;52.0;1586;398.0;1006.0;335.0;;140600.0;NEAR BAY;16
-122.24;37.8;47.0;2046;588.0;1213.0;554.0;2.6292;182700.0;NEAR BAY;
-122.23;37.8;52.0;1192;289.0;772.0;257.0;2.3833;146900.0;NEAR BAY;12
-122.24;37.8;52.0;1803;420.0;1321.0;401.0;2.957;122800.0;NEAR BAY;
-122.24;37.8;49.0;2838;749.0;1487.0;677.0;2.5238;169300.0;NEAR BAY;
-122.23;37.8;52.0;783;184.0;488.0;186.0;1.9375;126600.0;NEAR BAY;8
-122.23;37.8;51.0;1590;414.0;949.0;392.0;1.9028;127900.0;NEAR BAY;16
-122.23;37.8;50.0;1746;480.0;1149.0;415.0;2.25;123500.0;NEAR BAY;
-122.23;37.8;52.0;1252;299.0;844.0;280.0;2.3929;111900.0;NEAR BAY;
-122.23;37.79;43.0;5963;1344.0;4367.0;1231.0;2.1917;112800.0;NEAR BAY;
-122.23;37.79;52.0;1783;395.0;1659.0;412.0;2.9357;107900.0;NEAR BAY;18
-122.23;37.79;30.0;999;264.0;1011.0;263.0;1.8854;137500.0;NEAR BAY;
-122.24;37.79;39.0;1469;431.0;1464.0;389.0;;105500.0;NEAR BAY;15
-122.24;37.79;47.0;1372;395.0;1237.0;303.0;2.125;95500.0;NEAR BAY;
-122.24;37.79;52.0;674;180.0;647.0;168.0;3.375;116100.0;NEAR BAY;
-122.24;37.79;43.0;1626;376.0;1284.0;357.0;2.2542;112200.0;NEAR BAY;16
-122.25;37.79;51.0;175;43.0;228.0;55.0;2.1;75000.0;NEAR BAY;2
-122.25;37.79;39.0;461;129.0;381.0;123.0;1.6;112500.0;NEAR BAY;5
-122.25;37.79;52.0;902;237.0;846.0;227.0;;125000.0;NEAR BAY;
-122.26;37.8;20.0;2373;779.0;1659.0;676.0;1.6929;115000.0;NEAR BAY;
-122.22;37.77;52.0;391;128.0;520.0;138.0;1.6471;95000.0;NEAR BAY;4
-122.22;37.77;52.0;1137;301.0;866.0;259.0;2.59;96400.0;NEAR BAY;
-122.23;37.77;52.0;769;206.0;612.0;183.0;2.57;72000.0;NEAR BAY;
-122.23;37.78;52.0;472;146.0;415.0;126.0;2.6429;71300.0;NEAR BAY;
-122.23;37.78;52.0;862;215.0;994.0;213.0;3.0257;80800.0;NEAR BAY;9
-122.22;37.78;50.0;1920;530.0;1525.0;477.0;1.4886;128800.0;NEAR BAY;19
-122.23;37.78;43.0;1420;472.0;1506.0;438.0;1.9338;112500.0;NEAR BAY;
-122.23;37.78;52.0;986;258.0;1008.0;255.0;1.4844;119400.0;NEAR BAY;10
-122.23;37.78;44.0;2340;825.0;2813.0;751.0;1.6009;118100.0;NEAR BAY;23
-122.23;37.79;48.0;1696;396.0;1481.0;343.0;2.0375;122500.0;NEAR BAY;
-122.23;37.79;49.0;1175;217.0;859.0;219.0;2.293;106300.0;NEAR BAY;
-122.22;37.79;37.0;2343;574.0;1608.0;523.0;2.1494;132500.0;NEAR BAY;23
-122.23;37.79;30.0;610;145.0;425.0;140.0;1.6198;122700.0;NEAR BAY;6
-122.23;37.79;40.0;930;199.0;564.0;184.0;;113300.0;NEAR BAY;9
-122.22;37.79;44.0;1487;314.0;961.0;272.0;3.5156;109500.0;NEAR BAY;
-122.22;37.79;52.0;3424;690.0;2273.0;685.0;3.9048;164700.0;NEAR BAY;34
-122.21;37.79;52.0;762;190.0;600.0;195.0;3.0893;125000.0;NEAR BAY;
-122.22;37.79;46.0;2366;575.0;1647.0;527.0;2.6042;124700.0;NEAR BAY;
-122.22;37.79;49.0;1826;450.0;1201.0;424.0;2.5;136700.0;NEAR BAY;
-122.22;37.79;38.0;3049;711.0;2167.0;659.0;2.7969;141700.0;NEAR BAY;
-122.2;37.79;29.0;1640;376.0;939.0;340.0;2.8321;150000.0;NEAR BAY;16
-122.21;37.79;47.0;1543;307.0;859.0;292.0;2.9583;138800.0;NEAR BAY;
-122.21;37.79;34.0;2364;557.0;1517.0;516.0;2.8365;139200.0;NEAR BAY;24
-122.21;37.79;35.0;1745;409.0;1143.0;386.0;2.875;143800.0;NEAR BAY;17
-122.21;37.8;39.0;2003;500.0;1109.0;464.0;3.0682;156500.0;NEAR BAY;
-122.21;37.8;39.0;2018;447.0;1221.0;446.0;3.0757;151000.0;NEAR BAY;20
-122.2;37.8;43.0;3045;499.0;1115.0;455.0;4.9559;273000.0;NEAR BAY;
-122.2;37.8;52.0;1547;293.0;706.0;268.0;4.7721;217100.0;NEAR BAY;
-122.21;37.8;52.0;3519;711.0;1883.0;706.0;3.4861;187100.0;NEAR BAY;35
-122.2;37.8;41.0;2070;354.0;804.0;340.0;5.1184;239600.0;NEAR BAY;
-122.21;37.8;48.0;1321;263.0;506.0;252.0;4.0977;229700.0;NEAR BAY;
-122.19;37.8;48.0;1694;259.0;610.0;238.0;4.744;257300.0;NEAR BAY;
-122.19;37.8;46.0;1938;341.0;768.0;332.0;4.2727;246900.0;NEAR BAY;19
-122.19;37.79;50.0;968;195.0;462.0;184.0;2.9844;179900.0;NEAR BAY;10
-122.2;37.79;40.0;1060;256.0;667.0;235.0;4.1739;169600.0;NEAR BAY;
-122.2;37.8;46.0;2041;405.0;1059.0;399.0;3.8487;203300.0;NEAR BAY;
-122.19;37.8;52.0;1813;271.0;637.0;277.0;4.0114;263400.0;NEAR BAY;18
-122.19;37.79;45.0;2718;451.0;1106.0;454.0;4.6563;231800.0;NEAR BAY;27
-122.19;37.79;28.0;3144;761.0;1737.0;669.0;2.9297;140500.0;NEAR BAY;
-122.2;37.79;35.0;1802;459.0;1009.0;390.0;2.3036;126000.0;NEAR BAY;
-122.2;37.79;49.0;882;195.0;737.0;210.0;2.6667;122000.0;NEAR BAY;
-122.2;37.79;44.0;1621;452.0;1354.0;491.0;2.619;134700.0;NEAR BAY;
-122.21;37.79;45.0;2115;533.0;1530.0;474.0;2.4167;139400.0;NEAR BAY;21
-122.2;37.79;45.0;2021;528.0;1410.0;480.0;2.7788;115400.0;NEAR BAY;20
-122.21;37.78;46.0;2239;508.0;1390.0;569.0;2.7352;137300.0;NEAR BAY;22
-122.21;37.78;52.0;1477;300.0;1065.0;269.0;1.8472;137000.0;NEAR BAY;15
-122.21;37.78;52.0;1056;224.0;792.0;245.0;2.6583;142600.0;NEAR BAY;11
-122.21;37.78;49.0;898;244.0;779.0;245.0;3.0536;137500.0;NEAR BAY;9
-122.22;37.78;44.0;2968;710.0;2269.0;610.0;2.3906;111700.0;NEAR BAY;
-122.21;37.78;43.0;1702;460.0;1227.0;407.0;1.7188;126800.0;NEAR BAY;17
-122.21;37.78;47.0;881;248.0;753.0;241.0;2.625;111300.0;NEAR BAY;
-122.22;37.77;40.0;494;114.0;547.0;135.0;2.8015;114800.0;NEAR BAY;
-122.22;37.78;50.0;1776;473.0;1807.0;440.0;1.7276;102300.0;NEAR BAY;
-122.22;37.78;44.0;1678;514.0;1700.0;495.0;2.0801;131900.0;NEAR BAY;17
-122.22;37.78;51.0;1637;463.0;1543.0;393.0;2.489;119100.0;NEAR BAY;
-122.21;37.76;52.0;1420;314.0;1085.0;300.0;1.7546;80600.0;NEAR BAY;
-122.21;37.77;52.0;591;173.0;353.0;137.0;4.0904;80600.0;NEAR BAY;
-122.21;37.77;52.0;745;153.0;473.0;149.0;2.6765;88800.0;NEAR BAY;7
-122.2;37.77;49.0;2272;498.0;1621.0;483.0;2.4338;102400.0;NEAR BAY;
-122.21;37.77;46.0;1234;375.0;1183.0;354.0;2.3309;98700.0;NEAR BAY;12
-122.21;37.77;43.0;1017;328.0;836.0;277.0;;100000.0;NEAR BAY;
-122.19;37.77;42.0;932;254.0;900.0;263.0;1.8039;92300.0;NEAR BAY;
-122.2;37.77;39.0;2689;597.0;1888.0;537.0;2.2562;94800.0;NEAR BAY;
-122.2;37.77;41.0;1547;415.0;1024.0;341.0;2.0562;102000.0;NEAR BAY;15
-122.2;37.78;52.0;2300;443.0;1225.0;423.0;3.5398;158400.0;NEAR BAY;
-122.2;37.78;39.0;1752;399.0;1071.0;376.0;3.1167;121600.0;NEAR BAY;
-122.2;37.78;50.0;1867;403.0;1128.0;378.0;2.5401;129100.0;NEAR BAY;19
-122.2;37.77;43.0;2430;502.0;1537.0;484.0;2.898;121400.0;NEAR BAY;24
-122.21;37.78;44.0;1729;414.0;1240.0;393.0;2.3125;102800.0;NEAR BAY;17
-122.19;37.78;52.0;1026;180.0;469.0;168.0;2.875;160000.0;NEAR BAY;10
-122.19;37.77;52.0;2170;428.0;1086.0;425.0;3.3715;143900.0;NEAR BAY;
-122.19;37.77;52.0;2329;445.0;1144.0;417.0;3.5114;151200.0;NEAR BAY;
-122.19;37.78;52.0;2492;415.0;1109.0;375.0;4.3125;164400.0;NEAR BAY;
-122.19;37.78;52.0;2198;397.0;984.0;369.0;3.22;156500.0;NEAR BAY;
-122.18;37.78;33.0;142;31.0;575.0;47.0;;225000.0;NEAR BAY;
-122.19;37.78;49.0;1183;205.0;496.0;209.0;;174200.0;NEAR BAY;12
-122.19;37.78;52.0;1070;193.0;555.0;190.0;3.7262;166900.0;NEAR BAY;11
-122.2;37.78;45.0;1766;332.0;869.0;327.0;4.5893;163500.0;NEAR BAY;
-122.18;37.79;39.0;617;95.0;236.0;106.0;5.2578;253000.0;NEAR BAY;
-122.18;37.79;41.0;1411;233.0;626.0;214.0;7.0875;240700.0;NEAR BAY;14
-122.18;37.79;46.0;2109;387.0;922.0;329.0;3.9712;208100.0;NEAR BAY;21
-122.19;37.79;47.0;1229;243.0;582.0;256.0;2.9514;198100.0;NEAR BAY;
-122.19;37.79;50.0;954;217.0;546.0;201.0;2.6667;172800.0;NEAR BAY;
-122.18;37.81;37.0;1643;262.0;620.0;266.0;5.4446;336700.0;NEAR BAY;16
-122.18;37.8;34.0;1355;195.0;442.0;195.0;6.2838;318200.0;NEAR BAY;
-122.18;37.8;23.0;2317;336.0;955.0;328.0;6.7527;285800.0;NEAR BAY;23
-122.13;37.77;24.0;2459;317.0;916.0;324.0;7.0712;293000.0;NEAR BAY;25
-122.16;37.79;22.0;12842;2048.0;4985.0;1967.0;;371000.0;NEAR BAY;128
-122.17;37.78;42.0;1524;260.0;651.0;267.0;3.6875;157300.0;NEAR BAY;
-122.17;37.77;30.0;3326;746.0;1704.0;703.0;2.875;135300.0;NEAR BAY;33
-122.18;37.78;43.0;1985;440.0;1085.0;407.0;3.4205;136700.0;NEAR BAY;20
-122.18;37.78;50.0;1642;322.0;713.0;284.0;;160700.0;NEAR BAY;
-122.17;37.78;49.0;893;177.0;468.0;181.0;3.875;140600.0;NEAR BAY;
-122.17;37.78;52.0;653;128.0;296.0;121.0;4.175;144000.0;NEAR BAY;7
-122.16;37.77;47.0;1256;;570.0;218.0;4.375;161900.0;NEAR BAY;13
-122.16;37.77;48.0;977;194.0;446.0;180.0;4.7708;156300.0;NEAR BAY;10
-122.16;37.77;45.0;2324;397.0;968.0;384.0;3.5739;176000.0;NEAR BAY;23
-122.16;37.77;39.0;1583;349.0;857.0;316.0;3.0958;145800.0;NEAR BAY;
